unique_id,ds,cutoff,NHITS,NBEATS,PatchTST,TFT,Informer,TimesNet,cluster,y_
1024115,2024/1/31,2023/10/31,29.113447,34.543156,45.633392,48.309174,6.157439,16.856941,,86
1024116,2023/11/30,2023/10/31,234.35213,261.6779,248.13043,353.8236,6.1767583,433.8246,,105
1024116,2023/12/31,2023/10/31,294.56607,287.4815,291.4638,361.4843,5.910181,527.52924,,210
1024116,2024/1/31,2023/10/31,322.7176,315.86508,336.54352,368.30212,6.312584,427.22552,,324
1024117,2023/11/30,2023/10/31,182.06003,218.36617,186.37779,379.7462,5.8007565,388.5785,,115
1024117,2023/12/31,2023/10/31,242.68073,257.60266,247.12253,386.97833,5.980757,408.52887,,249
1024117,2024/1/31,2023/10/31,268.06744,289.40176,242.05118,393.6308,6.146935,379.39624,,263
1024172,2023/11/30,2023/10/31,38.199142,43.87986,36.845554,99.50545,6.1786375,107.39398,,41
1024172,2023/12/31,2023/10/31,47.457947,48.31276,54.97039,100.640434,6.1850476,128.1537,,43
1024172,2024/1/31,2023/10/31,49.89957,52.408695,53.80764,101.627655,6.1314645,65.09898,,96
1024205,2023/11/30,2023/10/31,4.172296,4.916011,3.0452178,5.9542723,6.1056943,9.916776,,3
1024205,2023/12/31,2023/10/31,4.9945483,5.0226727,7.5097456,6.3648868,5.8355765,14.050645,,1
1024205,2024/1/31,2023/10/31,5.33442,6.1086435,5.116181,6.7064576,6.246331,-0.15768814,,21
1024209,2023/11/30,2023/10/31,4.673144,7.531831,5.765237,9.245704,6.2522755,28.741964,,7
1024209,2023/12/31,2023/10/31,8.906645,9.618443,12.755767,10.158824,5.981469,31.180267,,21
1024209,2024/1/31,2023/10/31,10.771263,14.556976,10.463014,10.909381,6.308699,-2.722721,,7
1024212,2023/11/30,2023/10/31,71.93956,92.29131,75.384766,110.69782,5.907439,212.79506,,72
1024212,2023/12/31,2023/10/31,104.22772,113.07123,116.05568,114.48165,5.804271,211.95018,,287
1024212,2024/1/31,2023/10/31,121.95155,133.16492,116.39685,117.841125,6.3412385,161.93768,,252
1024715,2023/11/30,2023/10/31,65.88418,73.663,68.690315,84.80648,5.8959036,140.3294,,56
1024715,2023/12/31,2023/10/31,68.02335,76.308556,89.81175,87.00823,6.129517,125.0431,,142
1024715,2024/1/31,2023/10/31,66.0488,79.64568,78.06217,89.01683,6.1546903,58.306335,,117
1024716,2023/11/30,2023/10/31,100.1598,100.91589,94.17581,113.2216,5.2968545,125.358925,,48
1024716,2023/12/31,2023/10/31,106.36187,90.65464,121.38711,113.5587,6.301335,161.04755,,133
1024716,2024/1/31,2023/10/31,109.37713,90.435234,133.74144,113.83052,6.3558626,94.32895,,105
1024717,2023/11/30,2023/10/31,95.72594,109.65758,99.13768,159.27045,6.1197996,160.21718,,95
1024717,2023/12/31,2023/10/31,114.83407,117.89776,145.12253,167.95546,6.0167403,183.72104,,190
1024717,2024/1/31,2023/10/31,119.37096,128.39883,147.8182,176.01581,6.3381095,193.85747,,150
1025025,2023/11/30,2023/10/31,26.873442,37.134922,31.715197,47.78253,6.0601463,76.56934,,49
1025025,2023/12/31,2023/10/31,28.565027,40.517258,39.87685,49.857033,6.0181127,58.013847,,40
1025025,2024/1/31,2023/10/31,27.790524,39.5359,32.982704,51.73175,6.1271634,117.63472,,68
1025042,2023/11/30,2023/10/31,106.45009,116.086555,119.76024,147.15381,6.0220256,286.8555,,80
1025042,2023/12/31,2023/10/31,148.79465,124.9956,160.57027,153.65466,5.9354672,296.3459,,700
1025042,2024/1/31,2023/10/31,174.03467,132.90771,157.40257,158.53146,6.3262887,321.747,,322
1025068,2023/11/30,2023/10/31,145.50461,149.96991,157.4248,175.49622,6.0995245,226.08911,,178
1025068,2023/12/31,2023/10/31,165.15845,142.72563,177.2304,182.58023,6.328913,229.94247,,199
1025068,2024/1/31,2023/10/31,176.1938,137.65248,170.17793,188.07826,6.186554,213.73677,,81
1025101,2023/11/30,2023/10/31,47.564667,54.380745,54.638412,57.381866,6.190084,79.65625,,76
1025101,2023/12/31,2023/10/31,52.850178,54.81818,60.251545,58.935326,5.828403,65.224754,,51
1025101,2024/1/31,2023/10/31,55.70884,59.07339,56.845604,60.19951,6.3380027,45.766037,,76
1025102,2023/11/30,2023/10/31,77.04479,83.93215,79.213425,85.280365,5.9349914,156.17787,,44
1025102,2023/12/31,2023/10/31,83.93246,89.43372,96.76679,87.71135,6.1270337,184.67664,,66
1025102,2024/1/31,2023/10/31,87.215126,94.90914,93.20511,89.72055,6.1545105,55.78755,,81
1025109,2023/11/30,2023/10/31,105.64002,109.77634,119.18887,131.77429,5.889107,208.45657,,137
1025109,2023/12/31,2023/10/31,122.59703,114.74883,125.48245,133.34192,5.719539,170.97543,,132
1025109,2024/1/31,2023/10/31,129.4448,115.93719,110.41383,134.64024,6.12229,172.18575,,62
1025110,2023/11/30,2023/10/31,49.365814,57.488384,61.97135,81.91496,6.222242,75.05547,,71
1025110,2023/12/31,2023/10/31,55.288727,58.43963,76.52663,84.96484,6.289729,75.581825,,94
1025110,2024/1/31,2023/10/31,56.0862,58.534973,61.25054,87.78235,6.1247416,54.113487,,78
1025329,2023/11/30,2023/10/31,476.3136,407.12476,534.3367,363.5028,5.7622776,400.15515,,480
1025329,2023/12/31,2023/10/31,371.44507,234.85788,406.6433,361.41388,5.813109,404.61606,,222
1025329,2024/1/31,2023/10/31,347.8656,229.34274,452.4154,355.35474,6.128114,327.1383,,91
1025330,2023/11/30,2023/10/31,305.0716,260.17145,351.4488,195.12411,5.5626435,271.53433,,107
1025330,2023/12/31,2023/10/31,240.60954,150.65665,259.8871,195.52164,6.302731,280.43237,,207
1025330,2024/1/31,2023/10/31,225.73592,148.04892,266.12805,194.9279,6.3351808,250.64459,,171
1025542,2023/11/30,2023/10/31,341.59525,308.9579,392.36823,351.68842,5.7485666,343.53705,,876
1025542,2023/12/31,2023/10/31,280.40945,230.59021,364.68094,339.59363,5.7394404,273.61224,,376
1025542,2024/1/31,2023/10/31,260.44183,207.36035,298.4187,327.27292,6.24101,374.47552,,353
1025543,2023/11/30,2023/10/31,149.16469,134.24963,166.72032,191.85417,6.0708447,231.64429,,349
1025543,2023/12/31,2023/10/31,136.60287,94.79147,150.54425,177.28683,6.267582,176.31982,,276
1025543,2024/1/31,2023/10/31,128.06038,83.292175,145.92928,164.09814,5.9758315,121.47771,,195
1025599,2023/11/30,2023/10/31,222.45735,234.87402,228.37392,227.61497,6.1190963,282.94418,,85
1025599,2023/12/31,2023/10/31,231.43399,239.54343,246.55371,229.16246,5.779634,228.84134,,160
1025599,2024/1/31,2023/10/31,229.20807,231.33539,242.01823,230.1175,6.146837,299.55377,,146
1025666,2023/11/30,2023/10/31,287.10757,249.88052,310.81708,306.26495,5.8660297,289.07178,,153
1025666,2023/12/31,2023/10/31,244.40237,191.82623,257.9963,285.8994,6.304024,244.70657,,99
1025666,2024/1/31,2023/10/31,233.93915,181.36115,261.8998,267.71152,6.309945,215.06566,,50
1025669,2023/11/30,2023/10/31,512.0341,565.3771,528.2894,484.22556,5.425195,464.96533,,390
1025669,2023/12/31,2023/10/31,473.86108,567.47797,488.40747,477.05017,6.3588605,364.86865,,593
