product_id,start_date,fcst_value
1279018,2024-01-01,103.0
1279018,2024-02-01,109.0
1024348,2023-12-01,39.0
1024348,2024-01-01,43.0
1024348,2024-02-01,43.0
1071858,2023-12-01,0.0
1071858,2024-01-01,0.0
1071858,2024-02-01,0.0
1071859,2023-12-01,0.0
1071859,2024-01-01,0.0
1071859,2024-02-01,0.0
1041247,2023-12-01,23.0
1041247,2024-01-01,20.0
1041247,2024-02-01,20.0
1041248,2023-12-01,80.0
1041248,2024-01-01,46.0
1041248,2024-02-01,48.0
1331796,2023-12-01,174.0
1331796,2024-01-01,175.0
1331796,2024-02-01,170.0
1045084,2023-12-01,15.0
1045084,2024-01-01,17.0
1045084,2024-02-01,15.0
1017620,2023-12-01,0.0
1017620,2024-01-01,0.0
1017620,2024-02-01,0.0
1017622,2023-12-01,39.0
1017622,2024-01-01,43.0
1017622,2024-02-01,34.0
1032042,2023-12-01,3.0
1032042,2024-01-01,4.0
1032042,2024-02-01,3.0
1032045,2023-12-01,338.0
1032045,2024-01-01,321.0
1032045,2024-02-01,270.0
1043249,2023-12-01,0.0
1043249,2024-01-01,0.0
1043249,2024-02-01,0.0
1274100,2023-12-01,277.0
1274100,2024-01-01,279.0
1274100,2024-02-01,271.0
1000784,2023-12-01,45.0
1000784,2024-01-01,48.0
1000784,2024-02-01,45.0
1027188,2023-12-01,47.0
1027188,2024-01-01,47.0
1027188,2024-02-01,47.0
1027195,2023-12-01,8.0
1027195,2024-01-01,14.0
1027195,2024-02-01,11.0
1034611,2023-12-01,100.0
1034611,2024-01-01,96.0
1034611,2024-02-01,85.0
1039033,2023-12-01,40.0
1039033,2024-01-01,32.0
1039033,2024-02-01,34.0
1024350,2023-12-01,101.0
1024350,2024-01-01,116.0
1024350,2024-02-01,121.0
1036599,2023-12-01,154.0
1036599,2024-01-01,150.0
1036599,2024-02-01,143.0
1071862,2023-12-01,0.0
1071862,2024-01-01,0.0
1071862,2024-02-01,0.0
1071874,2023-12-01,1.0
1071874,2024-01-01,1.0
1071874,2024-02-01,1.0
1331817,2023-12-01,17.0
1331817,2024-01-01,19.0
1331817,2024-02-01,20.0
1331818,2023-12-01,0.0
1331818,2024-01-01,0.0
1331818,2024-02-01,0.0
1276656,2023-12-01,1.0
1276656,2024-01-01,2.0
1276656,2024-02-01,1.0
1017624,2023-12-01,257.0
1017624,2024-01-01,250.0
1017624,2024-02-01,276.0
1045085,2023-12-01,63.0
1045085,2024-01-01,57.0
1045085,2024-02-01,60.0
1045086,2023-12-01,14.0
1045086,2024-01-01,10.0
1045086,2024-02-01,13.0
1279019,2023-12-01,14.0
1279019,2024-01-01,13.0
1279019,2024-02-01,13.0
1279020,2023-12-01,11.0
1279020,2024-01-01,10.0
